Issue_time,Forecast_time,Coast,East,Far_West,North_Central,North,South_Central,Southern,West
2018-12-08 18:00:00,2018-12-09 01:00:00,11209.05859375,1871.921142578125,3036.948974609375,15363.5859375,1138.658447265625,7521.71044921875,3379.119384765625,1526.78466796875
2018-12-08 18:00:00,2018-12-09 02:00:00,11014.2529296875,1802.636962890625,3269.968505859375,14687.748046875,1109.5718994140625,7339.2763671875,3411.563720703125,1493.841064453125
2018-12-08 18:00:00,2018-12-09 03:00:00,10773.7578125,1775.627197265625,3025.320556640625,14264.6123046875,1084.4171142578125,7053.98193359375,3376.688720703125,1483.1927490234375
2018-12-08 18:00:00,2018-12-09 04:00:00,10107.49609375,1699.725830078125,3029.037841796875,13752.5625,1058.8897705078125,6921.33154296875,3310.01220703125,1453.0914306640625
2018-12-08 18:00:00,2018-12-09 05:00:00,10025.828125,1679.282470703125,3200.11474609375,13597.505859375,1045.8037109375,6834.91845703125,3279.4833984375,1484.0596923828125
2018-12-09 00:00:00,2018-12-09 06:00:00,10220.8896484375,1611.8212890625,3089.48974609375,13363.3564453125,1033.534423828125,6683.16650390625,2942.38525390625,1513.7020263671875
2018-12-09 00:00:00,2018-12-09 07:00:00,10178.2841796875,1620.831787109375,3032.86279296875,13234.958984375,1038.6434326171875,6600.0693359375,3096.088134765625,1456.0616455078125
2018-12-09 00:00:00,2018-12-09 08:00:00,10485.662109375,1657.6707763671875,3205.32177734375,13106.6806640625,1047.3956298828125,6660.23193359375,3222.276123046875,1462.1387939453125
2018-12-09 00:00:00,2018-12-09 09:00:00,10726.978515625,1687.2052001953125,2979.959716796875,13294.7802734375,1080.7598876953125,6858.2451171875,3327.818115234375,1478.8896484375
2018-12-09 00:00:00,2018-12-09 10:00:00,10551.9716796875,1706.64794921875,3029.22021484375,13732.23046875,1079.8409423828125,6991.6298828125,3511.403076171875,1544.693603515625
2018-12-09 00:00:00,2018-12-09 11:00:00,10871.966796875,1752.9451904296875,3123.154296875,14356.263671875,1144.619384765625,7378.7666015625,3532.239990234375,1590.9019775390625
