site_ids,longitude,latitude,AC_capacity_MW,BA,state,type,proposed,exactCoord,id,module_type,array_type,cap_MW_DC,dc_ac_ratio,tilt,system_capacity,losses,Zone
Hampton Corners Solar,-77.76978,42.727485,23.0,NYISO,NY,solar,planned,False,,0,0,,1.15,42.727485,23000.0,6.33609964070387,WEST
Harford Solar Farm,-76.245,42.448,2.8,NYISO,NY,solar,existing,True,61030.0,0,0,2.8,1.4,42.448,2800.0,6.94139116391165,CENTRL
Hatchery Solar,-77.836443,42.757573,30.0,NYISO,NY,solar,planned,True,,0,0,,1.5,42.757573,30000.0,6.26734212442616,WEST
HGS Solar I,-73.32526,43.543716,2.8,NYISO,NY,solar,existing,True,61765.0,0,0,2.8,1.4,43.543716,2800.0,6.68967694032979,CAPITL
High River Solar,-74.043583,42.817542,128.571428571429,NYISO,NY,solar,planned,False,,0,0,,1.42857142857143,42.817542,128571.428571429,6.4105733317429,CAPITL
Highview Solar,-78.228567,42.701363,20.0,NYISO,NY,solar,planned,False,,0,0,,1.0,42.701363,20000.0,6.53770756857037,WEST
Hills Solar,-74.958161,43.461722,25.0,NYISO,NY,solar,planned,True,,0,2,,1.25,0.0,25000.0,5.8703447433514,MHK VL
Hilltop Solar,-73.513845,42.710421,23.6,NYISO,NY,solar,planned,False,,0,0,,1.18,42.710421,23600.0,6.24090942363898,CAPITL
Hobart & William Smith College Gates Rd.,-77.05058,42.86228,2.6,NYISO,NY,solar,existing,True,63297.0,0,0,2.6,5.2,42.86228,2600.0,6.89071506449183,CENTRL
Holley Road Solar,-78.146546,43.230763,26.11875,NYISO,NY,solar,planned,True,,0,2,,1.3125,0.0,26118.75,6.68774873240474,WEST
Hollygrove CSG,-76.7217,43.26034,3.0,NYISO,NY,solar,existing,True,63051.0,0,2,3.0,1.5,0.0,3000.0,6.66999395206922,GENESE
Holtsville Solar Project,-73.03398,40.797667,1.7,NYISO,NY,solar,existing,True,61902.0,0,0,1.7,1.41666666666667,40.797667,1700.0,6.38006108647947,LONGIL
Homer Solar Energy Center,-76.178817,42.637014,140.0,NYISO,NY,solar,planned,True,,0,0,,1.55555555555556,42.637014,140000.0,6.51120489952104,CENTRL
Homer Street East,-78.44095,42.099342,2.0,NYISO,NY,solar,existing,True,62725.0,0,0,2.0,1.25,42.099342,2000.0,6.887501155399,WEST
Homer Street West,-78.44229,42.098128,2.0,NYISO,NY,solar,existing,True,62724.0,0,0,2.0,1.25,42.098128,2000.0,5.98479507432045,WEST
Hope Solar Farm LLC,-73.60213,42.726428,2.9,NYISO,NY,solar,existing,True,63371.0,0,0,2.9,1.45,42.726428,2900.0,7.22288661313856,CAPITL
Horseshoe Solar,-77.76978,42.727485,180.0,NYISO,NY,solar,planned,False,,0,0,,1.0,42.727485,180000.0,6.7605374722535,WEST
Hospital Rd Community Solar Farm CSG,-75.03607,41.774772,1.69999999999999,NYISO,NY,solar,existing,True,62155.0,0,0,1.7,1.21428571428571,41.774772,1699.99999999999,6.94020868438992,MHK VL
Houghton,-78.15659,42.426731,2.6,NYISO,NY,solar,existing,True,60454.0,0,0,2.6,1.0,42.426731,2600.0,6.85295076905392,GENESE
Howland CSG,-76.08921,43.63481,3.0,NYISO,NY,solar,existing,True,63055.0,0,2,3.0,1.5,0.0,3000.0,6.03937190380279,CENTRL
"IRE Solar I, LLC",-75.5,44.3,1.4,NYISO,NY,solar,existing,True,61717.0,0,0,1.4,1.4,44.3,1400.0,7.00004720136472,MHK VL
Janis Solar,-75.911588,42.469238,26.6666666666666,NYISO,NY,solar,planned,True,,0,0,,1.33333333333333,42.469238,26666.6666666666,6.54096751475411,CENTRL
Jaton,-76.209258,43.461443,20.9647058823529,NYISO,NY,solar,planned,False,,0,0,,1.29411764705882,43.461443,20964.7058823529,6.25383883880334,CENTRL
Jefferson-Lewis BOCES Solar,-75.96981,43.970958,2.4,NYISO,NY,solar,existing,True,60819.0,1,0,2.4,1.2,43.970958,2400.0,7.51379426319368,MHK VL
Johnstown,-74.31479,42.999179,3.0,NYISO,NY,solar,existing,True,61888.0,0,0,3.0,1.5,42.999179,3000.0,6.54535749777221,CAPITL
Johnstown Solar,-74.043583,42.817542,21.5,NYISO,NY,solar,planned,False,,0,0,,1.075,42.817542,21500.0,6.6795279161288,CAPITL
"Johnstown Solar 1, LLC",-74.3228,43.0724,4.3,NYISO,NY,solar,existing,True,63013.0,0,0,4.3,1.075,43.0724,4300.0,6.8270976524321,CAPITL
K. High,-77.063164,43.458758,22.671,NYISO,NY,solar,planned,False,,0,0,,1.145,43.458758,22671.0,6.2481863733389,GENESE
Katrina Falls,-74.76468,41.720176,25.3272727272727,NYISO,NY,solar,planned,False,,0,2,,1.27272727272727,0.0,25327.2727272727,6.65811318557142,MHK VL
Kearsarge Johnstown 1 CSG,-74.36018,43.066012,1.99999999999999,NYISO,NY,solar,existing,True,62549.0,0,0,2.0,1.33333333333333,43.066012,1999.99999999999,6.83134432672906,CAPITL
Kearsarge Johnstown 2 CSG,-74.36022,43.064422,2.8,NYISO,NY,solar,existing,True,62556.0,0,0,2.8,1.4,43.064422,2800.0,6.46068814596047,CAPITL
Kearsarge Oppenheim CSG,-74.73642,43.060223,1.9,NYISO,NY,solar,existing,True,61917.0,0,0,1.9,1.35714285714286,43.060223,1900.0,6.30273957584292,CAPITL
Kinder Morgan Fordham,-74.23658,40.542557,3.10000000000001,NYISO,NY,solar,existing,True,62614.0,0,0,3.1,1.82352941176471,40.542557,3100.00000000001,6.71171139312095,N.Y.C.
Kingbird Solar,-79.407595,42.304216,29.0,NYISO,NY,solar,planned,False,,0,0,,1.45,42.304216,29000.0,6.54141370694111,WEST
Kings Park Solar I,-73.24928,40.868294,3.0,NYISO,NY,solar,existing,True,59880.0,0,0,3.0,1.5,40.868294,3000.0,6.53877569567361,LONGIL
Kings Park Solar II,-73.24928,40.868294,3.0,NYISO,NY,solar,existing,True,59881.0,0,0,3.0,1.5,40.868294,3000.0,6.78909479304678,LONGIL
Knaggs Brothers Farm,-73.9691,42.73035,5.5,NYISO,NY,solar,existing,True,63230.0,0,0,5.5,5.0,42.73035,5500.0,6.57832930540522,CAPITL
Knickerbocker Solar,-73.513845,42.710421,27.0,NYISO,NY,solar,planned,False,,0,0,,1.35,42.710421,27000.0,6.22225068615471,CAPITL
Lacona Solar,-76.068536,43.643401,20.0,NYISO,NY,solar,planned,True,,0,0,,1.0,43.643401,20000.0,6.21053194281744,CENTRL
Leavenworth Greenworks LLC,-72.890291,40.942311,14.25,NYISO,NY,solar,existing,True,59276.0,0,0,14.25,1.5,40.942311,14250.0,7.07286728006054,LONGIL
Letchworth Solar Project,-78.17952,42.618969,1.2,NYISO,NY,solar,existing,True,61389.0,0,0,1.2,1.0,42.618969,1200.0,6.73245868773589,GENESE
Lichtenthal,-78.15818,43.020053,2.8,NYISO,NY,solar,existing,True,61469.0,0,0,2.8,1.4,43.020053,2800.0,6.95724468821252,WEST
Limestone Solar,-73.982996,42.849339,22.8,NYISO,NY,solar,planned,True,,0,0,,1.14,42.849339,22800.0,6.39403778436566,CAPITL
Lincoln Ave Solar Project,-73.08344,40.78144,3.0,NYISO,NY,solar,existing,True,61899.0,0,0,3.0,1.5,40.78144,3000.0,7.14641028749704,LONGIL
Little Pond Solar,-73.983004,41.148946,28.0,NYISO,NY,solar,planned,True,,0,0,,1.4,41.148946,28000.0,6.40326047994738,HUD VL
Long Island Solar Farm LLC,-72.850242,40.86572,37.6900000000001,NYISO,NY,solar,existing,True,57589.0,0,0,37.69,1.19650793650794,40.86572,37690.0000000001,6.51144860972947,LONGIL
Macedon,-77.34604,43.058633,2.9,NYISO,NY,solar,existing,True,63407.0,2,2,2.9,1.45,0.0,2900.0,7.14906287166407,GENESE
Madison County,-75.70098,43.028289,2.39999999999999,NYISO,NY,solar,existing,True,61725.0,0,0,2.4,1.33333333333333,43.028289,2399.99999999999,6.38713257813347,MHK VL
Madison Solar,-75.663575,42.910026,26.0,NYISO,NY,solar,planned,False,,0,2,,1.3,0.0,26000.0,5.9039883976998,MHK VL
Magruder Solar,-74.150426,41.679812,20.0,NYISO,NY,solar,planned,True,,0,2,,1.0,0.0,20000.0,6.90751211480189,HUD VL
