site_ids,longitude,latitude,AC_capacity_MW,BA,state,type,proposed,exactCoord,id,module_type,array_type,cap_MW_DC,dc_ac_ratio,tilt,system_capacity,losses,Zone
Morrow Farms LLC,-76.053522,43.995371,27.9529411764705,NYISO,NY,solar,planned,False,,0,0,,1.41176470588235,43.995371,27952.9411764705,6.70519740367897,MHK VL
Musgrave East Solar Farm,-76.66367,42.731496,2.8,NYISO,NY,solar,existing,True,61003.0,0,0,2.8,1.4,42.731496,2800.0,6.60653257452579,CENTRL
Musgrave West Solar Farm,-76.66367,42.731496,2.8,NYISO,NY,solar,existing,True,61015.0,0,0,2.8,1.4,42.731496,2800.0,7.25563516264543,CENTRL
New Bremen Solar,-75.440184,43.837847,150.0,NYISO,NY,solar,planned,True,,0,0,,1.5,43.837847,150000.0,6.54087011864572,MHK VL
Newfield Community Solar LLC,-76.600504,42.385144,7.5,NYISO,NY,solar,existing,True,62582.0,0,0,7.5,1.25,42.385144,7500.0,6.3018755244841,CENTRL
Niagara Dolomite Solar,-78.74762,43.31195,412.2,NYISO,NY,solar,planned,True,,0,0,,1.145,43.31195,412200.0,6.07956377267134,WEST
Niagara Solar,-78.228567,42.701363,28.3333333333334,NYISO,NY,solar,planned,False,,0,0,,1.41666666666667,42.701363,28333.3333333334,6.85029721700274,WEST
North Country Solar,-75.442617,43.786397,22.5,NYISO,NY,solar,planned,False,,0,0,,1.5,43.786397,22500.0,6.76540342182294,MHK VL
North County,-73.32361,40.763056,1.0,NYISO,NY,solar,existing,True,58788.0,0,0,1.0,1.0,40.763056,1000.0,6.75694846157608,LONGIL
North Light Energy Center,-76.872096,42.765189,120.0,NYISO,NY,solar,planned,True,,0,0,,1.5,42.765189,120000.0,6.30634801719239,CENTRL
North Side Solar,-74.751809,44.982158,270.0,NYISO,NY,solar,planned,True,,0,0,,1.5,44.982158,270000.0,6.23134267963424,NORTH
NY08 Solar,-73.439428,43.312377,30.0,NYISO,NY,solar,planned,False,,0,0,,1.5,43.312377,30000.0,6.76963911704181,CAPITL
NY109 Solar,-74.423678,43.115609,31.0,NYISO,NY,solar,planned,False,,0,0,,1.55,43.115609,31000.0,6.63047596970398,CAPITL
NY13 Solar,-73.435023,43.377712,27.86,NYISO,NY,solar,planned,True,,0,2,,1.4,0.0,27860.0,7.02875070279085,CAPITL
NY16 Solar,-73.435023,43.377712,29.85,NYISO,NY,solar,planned,True,,0,0,,1.5,43.377712,29850.0,6.7071017869301,CAPITL
NY37 Solar,-76.053522,43.995371,30.0,NYISO,NY,solar,planned,False,,0,0,,1.5,43.995371,30000.0,5.6969511009181,MHK VL
NY38 Solar,-76.053522,43.995371,129.0,NYISO,NY,solar,planned,False,,0,0,,1.075,43.995371,129000.0,6.55012631796658,MHK VL
Oneida - South,-75.38687,43.166353,2.6,NYISO,NY,solar,existing,True,60455.0,0,0,2.6,1.36842105263158,43.166353,2600.0,7.21891976153932,MHK VL
Oneida - West,-75.40487,43.169617,2.6,NYISO,NY,solar,existing,True,60456.0,0,0,2.6,1.36842105263158,43.169617,2600.0,7.13790044831821,MHK VL
Onondaga County - Metro Water Board,-76.22408,43.183782,1.4,NYISO,NY,solar,existing,True,60097.0,0,0,1.4,1.4,43.183782,1400.0,6.55301423995219,CENTRL
Onondaga County - Oak Orchard WWTP,-76.13012,43.172719,2.5,NYISO,NY,solar,existing,True,60098.0,0,2,2.5,1.25,0.0,2500.0,7.3886563736074,CENTRL
Onondaga County- Jamesville,-76.06422,42.986644,2.5,NYISO,NY,solar,existing,True,60232.0,0,2,2.5,1.25,0.0,2500.0,6.51632038664329,CENTRL
Onyx - Lamphear Road CSG,-75.47672,43.18413,2.8,NYISO,NY,solar,existing,True,60967.0,0,0,2.8,1.4,43.18413,2800.0,6.65598535332828,MHK VL
Onyx - Saratoga Springs Landfill Solar CSG,-73.74486,43.096874,2.6,NYISO,NY,solar,existing,True,61724.0,0,0,2.6,1.3,43.096874,2600.0,6.79164506158696,CAPITL
Orleans Solar,-78.229726,43.502287,240.0,NYISO,NY,solar,planned,False,,0,0,,1.2,43.502287,240000.0,6.26765554594319,WEST
Oswego County - Fulton Solar,-76.34325,43.342437,2.5,NYISO,NY,solar,existing,True,60818.0,0,0,2.5,1.25,43.342437,2500.0,7.01945331597313,CENTRL
Owens Corning at Bethlehem,-73.865,42.586944,2.3,NYISO,NY,solar,existing,True,58550.0,0,0,2.3,1.15,42.586944,2300.0,6.66256627788451,CAPITL
Oxbow Hill Solar,-75.806908,42.980598,175.0,NYISO,NY,solar,planned,True,,0,0,,1.25,42.980598,175000.0,6.69443347371805,MHK VL
Pasto Solar,-76.52376,42.210028,23.86,NYISO,NY,solar,existing,True,62389.0,0,0,23.86,1.49125,42.210028,23860.0,6.94714114407562,CENTRL
Pattersonville,-74.435358,42.900891,28.0,NYISO,NY,solar,planned,False,,0,0,,1.4,42.900891,28000.0,6.57418476300008,CAPITL
Pearl CSG,-78.29042,42.981335,6.0,NYISO,NY,solar,existing,True,63060.0,0,2,6.0,1.5,0.0,6000.0,7.40528713236518,WEST
Pearl II,-78.29042,42.981336,3.0,NYISO,NY,solar,existing,True,63405.0,0,2,3.0,1.5,0.0,3000.0,6.75783227723893,WEST
Podunk Road CSG,-76.65289,42.46806,2.70000000000001,NYISO,NY,solar,existing,True,62834.0,0,0,2.7,1.22727272727273,42.46806,2700.00000000001,6.65438622028684,CENTRL
Pool Brook Rd Community Solar Farm,-75.08338,42.542175,4.0,NYISO,NY,solar,existing,True,62156.0,0,0,4.0,2.0,42.542175,4000.0,7.37068974126688,MHK VL
Port Richmond WWT Solar,-74.12611,40.638056,1.9,NYISO,NY,solar,existing,True,58647.0,0,0,1.9,1.9,40.638056,1900.0,6.52197143145257,N.Y.C.
Puckett Solar,-75.769915,42.329241,28.0,NYISO,NY,solar,planned,True,,0,0,,1.4,42.329241,28000.0,6.60998094230959,MHK VL
"Ransomville Solar 1, LLC",-78.94984,43.1994,5.2,NYISO,NY,solar,existing,True,63012.0,0,0,5.2,1.04,43.1994,5200.0,6.17801612670041,WEST
"Ray Solar, LLC",-73.513845,42.710421,28.8888888888888,NYISO,NY,solar,planned,False,,0,0,,1.44444444444444,42.710421,28888.8888888888,6.65028966916012,CAPITL
Regan Solar,-75.489552,42.404447,30.0,NYISO,NY,solar,planned,True,,0,0,,1.5,42.404447,30000.0,6.74210000719883,MHK VL
Rich Road Solar Energy Center,-75.210909,44.552667,240.0,NYISO,NY,solar,planned,True,,0,0,,1.0,44.552667,240000.0,6.92009313657686,MHK VL
Richardson Solar,-75.074311,44.488113,24.0,NYISO,NY,solar,planned,False,,0,0,,1.0,44.488113,24000.0,6.58839361905588,MHK VL
Ridge View Solar Energy Center,-79.025487,43.176589,350.0,NYISO,NY,solar,planned,True,,2,0,,1.0,43.176589,350000.0,5.85516659577867,WEST
Riley Road LLC,-74.07837,41.469132,5.6,NYISO,NY,solar,existing,True,63369.0,0,0,5.6,1.4,41.469132,5600.0,6.81697745692192,HUD VL
Rising Solar II,-74.306252,41.40241,28.0,NYISO,NY,solar,planned,False,,0,0,,1.4,41.40241,28000.0,5.97396705821961,HUD VL
"RIT Henrietta Solar 1, LLC",-77.66724,43.076198,2.3,NYISO,NY,solar,existing,True,62810.0,0,0,2.3,1.4375,43.076198,2300.0,6.56921609726139,GENESE
Riverhead,-73.23222,40.826111,1.5,NYISO,NY,solar,existing,True,58789.0,0,0,1.5,1.0,40.826111,1500.0,6.51733619775995,LONGIL
Riverhead Expansion,-72.692218,40.943554,36.0,NYISO,NY,solar,planned,False,,0,2,,1.0,0.0,36000.0,6.49408480571752,LONGIL
Riverhead Solar Farm,-72.76451,40.922992,22.9,NYISO,NY,solar,existing,True,62017.0,0,2,22.9,1.145,0.0,22900.0,7.02496216756017,LONGIL
Riverline Energy Center,-75.074311,44.488113,266.666666666666,NYISO,NY,solar,planned,False,,0,0,,1.33333333333333,44.488113,266666.666666666,6.29892535046247,MHK VL
Riverside Solar,-76.053522,43.995371,150.0,NYISO,NY,solar,planned,False,,0,0,,1.5,43.995371,150000.0,6.41946153301246,MHK VL
Rock District Solar,-74.50002,42.731293,20.0,NYISO,NY,solar,planned,True,,0,0,,1.0,42.731293,20000.0,6.37269287466238,CAPITL
Rosalen Solar Energy Center,-77.010395,43.202002,521.9375,NYISO,NY,solar,planned,True,,0,0,,1.49125,43.202002,521937.5,6.69868452327528,GENESE
Route 14A CDG Solar North and South LLC,-77.04613,42.815086,5.2,NYISO,NY,solar,existing,True,62580.0,0,0,5.2,1.3,42.815086,5200.0,7.13790687425868,CENTRL
Route 318,-76.827088,42.782294,29.85,NYISO,NY,solar,planned,False,,0,0,,1.5,42.782294,29850.0,6.28194106735464,CENTRL
"RT 52 Walden Solar 1, LLC",-74.2163,41.5841,5.7,NYISO,NY,solar,existing,True,63000.0,0,0,5.7,1.14,41.5841,5700.0,6.68452114948129,HUD VL
Rutland Center Solar,-76.053522,43.995371,140.555555555556,NYISO,NY,solar,planned,False,,0,0,,1.27777777777778,43.995371,140555.555555556,7.01614929595484,MHK VL
Sacket Lake Rd #2 Community Solar Farm,-74.43526,41.38251,2.4,NYISO,NY,solar,existing,True,62159.0,0,0,2.4,1.41176470588235,41.38251,2399.99999999999,6.33334270025634,HUD VL
Saratoga Solar LLC,-73.90395,43.07377,6.3,NYISO,NY,solar,existing,True,63373.0,0,0,6.3,1.26,43.07377,6300.0,7.24724772016122,CAPITL
Scipio Solar,-76.571941,42.787463,27.0,NYISO,NY,solar,planned,True,,0,0,,1.5,42.787463,27000.0,6.33150609347913,CENTRL
Sharon Springs,-74.56715,42.775105,3.0,NYISO,NY,solar,existing,True,61903.0,0,0,3.0,1.5,42.775105,3000.0,6.27842326815183,CAPITL
Sharon Springs Interconnection,-74.617086,42.795907,25.0,NYISO,NY,solar,planned,True,,0,0,,1.25,42.795907,25000.0,6.40579906598199,CAPITL
Shoreham Solar Commons,-72.88915,40.936551,24.9,NYISO,NY,solar,existing,True,60045.0,0,0,24.9,1.0,40.936551,24900.0,6.89466525739508,LONGIL
Silver Lake Solar,-78.021769,42.700626,31.125,NYISO,NY,solar,planned,True,,0,0,,1.25,42.700626,31125.0,5.86522934310957,WEST
Silverline Energy Center,-76.473712,42.453281,290.0,NYISO,NY,solar,planned,False,,0,2,,1.45,0.0,290000.0,6.04662305775583,CENTRL
Skidmore College,-73.81132,43.093682,2.0,NYISO,NY,solar,existing,True,60425.0,0,0,2.0,1.0,43.093682,2000.0,6.75899915507351,CAPITL
Sky High Solar,-76.244803,42.997521,25.5555555555556,NYISO,NY,solar,planned,True,,0,0,,1.27777777777778,42.997521,25555.5555555556,6.32699008232766,CENTRL
Skyline Solar,-75.434282,43.242727,30.0,NYISO,NY,solar,planned,False,,0,0,,1.5,43.242727,30000.0,6.14640497220752,MHK VL
SL Babylon,-73.375661,40.732411,10.62,NYISO,NY,solar,existing,True,61487.0,0,0,10.62,1.18,40.732411,10620.0,7.29448371302687,LONGIL
SL Portland Solar,-79.407595,42.304216,22.671,NYISO,NY,solar,planned,False,,0,2,,1.145,0.0,22671.0,6.13031660492008,WEST
Solean Solar Project,-78.44821,42.086926,5.7,NYISO,NY,solar,existing,True,61898.0,0,0,5.7,1.425,42.086926,5700.0,6.55829283552075,WEST
"Somers Solar, LLC",-73.439428,43.312377,23.9301587301588,NYISO,NY,solar,planned,False,,1,0,,1.19650793650794,43.312377,23930.1587301588,6.65449248915288,CAPITL
Somerset Solar,-78.792143,43.456731,310.5,NYISO,NY,solar,planned,False,,0,0,,1.5,43.456731,310500.0,6.51810829723463,WEST
South Ripley Solar,-79.720603,42.195057,381.176470588235,NYISO,NY,solar,planned,True,,0,2,,1.41176470588235,0.0,381176.470588235,6.72455158354517,WEST
St. Lawerence University - Sutton,-75.87226,43.932397,2.9,NYISO,NY,solar,existing,True,61579.0,0,0,2.9,1.45,43.932397,2900.0,5.86315881100491,MHK VL
Steel Sun,-78.84531,42.812811,2.8,NYISO,NY,solar,existing,True,59705.0,0,0,2.8,1.4,42.812811,2800.0,7.01161464821263,WEST
Steel Sun 2: 2303-III-2 Hamburg Tpke,-78.85337,42.809003,3.0,NYISO,NY,solar,existing,True,62723.0,0,0,3.0,1.5,42.809003,3000.0,7.15026988903657,WEST
Steel Sun 2: 2303-III-4 Hamburg Tpke,-78.85422,42.811146,3.0,NYISO,NY,solar,existing,True,62722.0,0,0,3.0,1.5,42.811146,3000.0,6.8208853078802,WEST
Steel Sun 2: 2303-III-9 Hamburg Tpke,-78.85538,42.81849,3.0,NYISO,NY,solar,existing,True,62721.0,0,0,3.0,1.5,42.81849,3000.0,7.04203689434346,WEST
Sterlington Greenworks LLC,-72.44028,41.0675,1.8,NYISO,NY,solar,existing,True,59275.0,0,0,1.8,1.8,41.0675,1800.0,7.11327042892267,LONGIL
Stone Mill Solar,-73.159489,43.620109,26.0,NYISO,NY,solar,planned,True,,0,0,,1.3,43.620109,26000.0,7.14940551927727,CAPITL
Strauss CSG,-76.99392,42.891451,3.1,NYISO,NY,solar,existing,True,63108.0,0,2,3.1,1.55,0.0,3100.0,6.96592412331954,CENTRL
Suffragette Solar Energy Center,-76.574587,43.008546,28.3333333333334,NYISO,NY,solar,planned,False,,0,0,,1.41666666666667,43.008546,28333.3333333334,6.25886053979047,CENTRL
Sugar Maple Solar,-75.442617,43.786397,174.8,NYISO,NY,solar,planned,False,,0,0,,1.0,43.786397,174800.0,6.57862780818351,MHK VL
Sugarhill Road - Solitude Solar CSG,-73.84853,42.822572,5.0,NYISO,NY,solar,existing,True,62788.0,0,2,5.0,1.0,0.0,5000.0,7.52125600067972,CAPITL
Sullivan County - Adult Care Solar,-74.70808,41.7966,2.5,NYISO,NY,solar,existing,True,60817.0,0,0,2.5,1.25,41.7966,2500.0,7.82152330231564,MHK VL
SunEast Flat Stone Solar LLC,-75.434282,43.242727,30.5,NYISO,NY,solar,planned,False,,0,0,,1.525,43.242727,30500.0,5.94398835407152,MHK VL
SunEast Manchester Solar LLC,-77.063164,43.458758,30.0,NYISO,NY,solar,planned,False,,0,0,,1.5,43.458758,30000.0,6.3761554265748,GENESE
SunEast Oriskany Solar LLC,-75.434282,43.242727,25.0,NYISO,NY,solar,planned,False,,0,0,,1.25,43.242727,25000.0,6.35476987880989,MHK VL
Sunlight Beacon,-73.98164,41.494632,2.0,NYISO,NY,solar,existing,True,61922.0,0,0,2.0,1.0,41.494632,2000.0,6.4467168902522,HUD VL
Sunset Hill Solar,-74.207432,42.515897,23.9301587301588,NYISO,NY,solar,planned,True,,0,0,,1.19650793650794,42.515897,23930.1587301588,6.16880814637112,HUD VL
Sutter Greenworks LLC,-72.77111,40.928056,7.2,NYISO,NY,solar,existing,True,59274.0,0,0,7.2,1.8,40.928056,7200.0,6.52245287945692,LONGIL
Tabletop Solar,-74.425617,42.910206,112.0,NYISO,NY,solar,planned,True,,0,0,,1.4,42.910206,112000.0,6.47999936826074,CAPITL
Tannery Road Landfill,-75.53459,43.239004,2.8,NYISO,NY,solar,existing,True,60677.0,0,0,2.8,1.4,43.239004,2800.0,7.40120313330979,MHK VL
Tayandenega Solar,-74.435358,42.900891,25.0,NYISO,NY,solar,planned,False,,0,0,,1.25,42.900891,25000.0,6.3671251110305,CAPITL
Teele,-75.074311,44.488113,39.6,NYISO,NY,solar,planned,False,,0,0,,2.0,44.488113,39600.0,6.81434304121384,MHK VL
Thousand Island Solar,-76.053522,43.995371,165.0,NYISO,NY,solar,planned,False,,0,0,,1.5,43.995371,165000.0,6.61954673437953,MHK VL
Ticonderoga Solar,-73.423454,43.848667,24.5454545454546,NYISO,NY,solar,planned,True,,0,0,,1.22727272727273,43.848667,24545.4545454546,6.00069714238861,CAPITL
Time Warner Cable - Knowles,-77.37532,42.337435,2.8,NYISO,NY,solar,existing,True,60904.0,0,2,2.8,1.4,0.0,2800.0,6.83640346940406,CENTRL
Time Warner Cable Enterprises - Martino,-75.43048,43.183689,2.8,NYISO,NY,solar,existing,True,61577.0,0,0,2.8,1.4,43.183689,2800.0,7.32496750300052,MHK VL
Tompkins Cortland Community College,-76.2865,42.5025,2.6,NYISO,NY,solar,existing,True,60431.0,0,0,2.6,1.3,42.5025,2600.0,6.46446320637624,CENTRL
Town of Williamson Landfill PV,-77.17472,43.244444,1.5,NYISO,NY,solar,existing,True,59613.0,0,0,1.5,1.25,43.244444,1500.0,6.27090332788674,GENESE
Tracy Solar Energy Centre,-75.992765,44.060742,119.0,NYISO,NY,solar,planned,True,,1,0,,1.0,44.060742,119000.0,6.67473319553818,MHK VL
Transit Solar Project,-78.192778,43.00091,25.2,NYISO,NY,solar,planned,False,,0,0,,1.26,43.00091,25200.0,6.93431017958812,WEST
Troupsburg Solar,-77.385525,42.266725,22.9,NYISO,NY,solar,planned,False,,0,0,,1.145,42.266725,22900.0,6.077635709447,CENTRL
Tubolino 2,-76.053522,43.995371,19.8,NYISO,NY,solar,planned,False,,2,0,,1.0,43.995371,19800.0,6.56335158069646,MHK VL
Turner Rd Community Solar Project,-76.67848,42.09305,2.7,NYISO,NY,solar,existing,True,62160.0,0,0,2.7,1.35,42.09305,2700.0,6.07407292832515,CENTRL
Ulster County Solar,-73.98123,41.961896,1.9,NYISO,NY,solar,existing,True,62777.0,0,0,1.9,1.35714285714286,41.961896,1900.0,6.9179060855728,HUD VL
Valley Solar,-76.363728,42.125632,27.3684210526316,NYISO,NY,solar,planned,True,,0,0,,1.36842105263158,42.125632,27368.4210526316,5.9505815272787,CENTRL
Verona Solar Energy Center I,-75.434282,43.242727,312.5,NYISO,NY,solar,planned,False,,0,0,,1.25,43.242727,312500.0,6.79784592787888,MHK VL
Verona Solar Energy Center II,-75.434282,43.242727,326.923076923078,NYISO,NY,solar,planned,False,,0,0,,1.30769230769231,43.242727,326923.076923078,6.62142397692298,MHK VL
Villa Roma Rd #3 CSG,-74.96152,41.754421,2.3,NYISO,NY,solar,existing,True,62527.0,0,0,2.3,1.15,41.754421,2300.0,6.49425673156699,MHK VL
Villa Roma Rd #4 CSG,-74.95863,41.754435,2.3,NYISO,NY,solar,existing,True,62528.0,0,0,2.3,1.15,41.754435,2300.0,7.31881963192206,MHK VL
Vulcraft Solar,-76.61935,42.005874,2.2,NYISO,NY,solar,existing,True,60365.0,0,0,2.2,1.375,42.005874,2200.0,7.17857625004288,CENTRL
Warner Hill Solar Project,-74.499629,42.655037,28.855,NYISO,NY,solar,planned,True,,0,2,,1.45,0.0,28855.0,6.60621555195946,CAPITL
Watkins Glen Solar,-76.873292,42.380629,72.5,NYISO,NY,solar,planned,True,,0,0,,1.45,42.380629,72500.0,5.92339889091128,CENTRL
Watkins Rd Solar,-75.062868,43.059421,30.0,NYISO,NY,solar,planned,True,,0,2,,1.5,0.0,30000.0,5.92127436110774,MHK VL
Westmorland Solar,-75.434282,43.242727,28.0,NYISO,NY,solar,planned,False,,0,2,,1.4,0.0,28000.0,6.51141838176824,MHK VL
White Creek Solar,-77.79598,42.945566,190.588235294117,NYISO,NY,solar,planned,True,,0,2,,1.41176470588235,0.0,190588.235294117,6.55187443139036,WEST
White Spring Solar,-77.286491,42.850983,333.333333333334,NYISO,NY,solar,planned,True,,0,2,,1.66666666666667,0.0,333333.333333334,6.44560131553267,GENESE
Whittier,-77.8614,43.150002,2.6,NYISO,NY,solar,existing,True,63408.0,2,2,2.6,1.3,0.0,2600.0,6.84424927785194,GENESE
Williamson,-77.15221,43.234141,2.8,NYISO,NY,solar,existing,True,63409.0,2,2,2.8,1.4,0.0,2800.0,6.69062870265285,GENESE
Woodoak Drive Community Solar Farm CSG,-75.027,41.594,2.7,NYISO,NY,solar,existing,True,62479.0,0,0,2.7,1.35,41.594,2700.0,6.60886514587749,MHK VL
Yellow Barn Solar,-76.549444,42.457463,232.0,NYISO,NY,solar,planned,True,,0,0,,1.45,42.457463,232000.0,6.31875817181991,CENTRL
